name,phrase,numberOfWords
KYLO REN,You know I can take whatever I want,8
KYLO REN, You're so lonely so afraid to leave At night desperate to sleep you imagine an ocean I see it I see the island,23
KYLO REN,And Han Solo You feel like he's the father you never had He would've disappointed you,16
REY,Get out of my head,5
KYLO REN,I know you've seen the map It's in there and now you'll give it to me Don't be afraid I feel it too,23
REY,I'm not giving you anything,5
KYLO REN,We'll see,2
REY, You you're afraid that you will never be as strong as Darth Vader,13
SNOKE,This scavenger resisted you,4
KYLO REN,She's strong with the Force untrained but stronger than she knows,11
SNOKE,And the droid,3
GENERAL HUX,Ren believed it was no longer valuable to us,9
GENERAL HUX,That the girl was all we needed As a result the droid has most likely been returned to the hands of the enemy They may have the map already,29
SNOKE,Then the Resistance must be destroyed before they get to Skywalker,11
GENERAL HUX,We have their location We tracked their reconnaissance ship to the Ileenium system,13
SNOKE,Good Then we will crush them once and for all Prepare the weapon,13
KYLO REN,Supreme Leader I can get the map from the girl I just need your guidance,15
SNOKE,If what you say about this girl is true bring her to me,13
REY,You will remove these restraints And leave this cell with the door open,13
REY,You will remove these restraints And leave this cell with the door open,13
REY,You will remove these restraints And leave this cell with the door open,13
REY,And you will drop your weapon,6
GENERAL HUX,Begin charging the weapon,4
POE,The scan data from Snap's reconnaissance flight confirms Finn's report,10
POE,I wish that were the case Major,7
POE,This was the Death Star,5
POE,This is Starkiller Base,4
HAN,So it's big,3
FINN,It uses the power of the sun As the weapon is charged the sun is drained until it disappears,19
LEIA,The First Order they're charging the weapon again now Our system is the next target,15
C-3PO,Oh my Without the Republic fleet we're doomed,8
HAN,Okay how do we blow it up There's always a way to do that,14
LEIA,Han's right,2
FINN,There is one,3
FINN,Precinct 47 Here,3
POE,We'll go in there and we'll hit that oscillator with everything we got,13
HAN,We disable the shields,4
FINN,I can do it,4
HAN,I like this guy,4
FINN,I can disable the shields But I have to be there on the planet,14
HAN,We'll get you there,4
LEIA,Han how,2
HAN,If I told you you wouldn't like it,8
POE,So we disable the shields take out the oscillator and we blow up their big gun All right Let's go,20
HAN,Chewie check that donal capitator Come on Let's go Finn be careful with those - they're explosives,17
FINN,Now you tell me,4
LEIA,No matter how much we fought I've always hated watching you leave,12
HAN,That's what I did it So you'd miss me,9
LEIA,I did miss you,4
HAN,It wasn't all bad was it Huh Some of it wasgood,11
LEIA, Pretty good,2
HAN,Some things never change,4
LEIA,True You still drive me crazy,6
LEIA,If you see our son again bring him home,9
KYLO REN,She's just beginning to test her powers The longer it takes to find her the more dangerous she becomes,19
FINN,How are we getting in,5
HAN,Their shields have a fractional refresh rate Keeps anything traveling slower than lightspeed from getting through,16
FINN,We're gonna make our landing approach at lightspeed,8
HAN,Alright Chewie get ready,4
HAN,And Now,2
HAN,I get any higher they'll see us,7
KYLO REN,Put every hangar on lock-down She's going to try to steal a ship to,14
KYLO REN,Han Solo,2
FINN,The flooding tunnels are over that ridge We'll get in that way,12
HAN,What was your job when you were based here,9
FINN,Sanitation,1
HAN,Sanitation Then how do you know how to disable the shields,11
FINN,I don't I'm just here to get Rey,8
HAN,People are counting on us The galaxy is counting on us,11
FINN,Solo we'll figure it out We'll use the Force,9
HAN,That's not how the Force works,6
HAN,Oh really you're cold,4
FINN,Come on,2
GENERAL HUX,Report,1
HAN,The longer we're here less luck we're going to have The shields,12
FINN,I have an idea about that,6
FINN,Remember me,2
FINN,Not anymore The name's Finn and I'm in charge I'm in charge now Phasma I'm in charge,17
HAN,Bring it down Bring it down,6
FINN,Follow me,2
FINN,You want me to blast that bucket off your head Lower the shields,13
FINN,Do it,2
FINN,Solo if this works we're not going to have a lot of time to find Rey,16
HAN,Don't worry kid we won't leave here without her,9
FINN,I disagree What do we do with her,8
HAN,Is there a garbage chute Trash compactor,7
FINN,Yeah there is,3
C-3PO,Thank the Maker,3
LEIA,Han did it Send them in,6
POE,Roger base red squad blue squad take my lead,9
POE,Almost in range Hit the target dead center as many runs as we can get,15
GENERAL HUX,Dispatch all squadrons,3
POE,Let's light it up,4
POE,Yeah we gotta keep hitting it Another bombing run Remember when that sun is gone that weapon will be ready to fire But as long as there's light we got a chance,32
POE,Guys we got a lot of company,7
FINN,We'll use the charges to blow that blast door I'll go in and draw fire but I'm gonna need cover,20
HAN,You sure you're up for this,6
FINN,Hell no I'll go in find and try to find Rey The troopers'll be on our tail We have to be ready for that There's an access tunnel that'll leads Why are you doing that Why are you doing this I'm trying to come up with a plan,48
HAN,Are you all right,4
REY,Yeah,1
HAN,Good,1
FINN,What happened did he hurt you,6
REY,Finn What are you doing here,6
FINN,We came back for you,5
FINN,What'd he say,3
REY, That it was your idea,5
REY,Thank you,2
FINN,How did you get away,5
REY,I can't explain it And you wouldn't believe it,9
HAN,Escape now Hug later,4
HAN,They're in trouble We can't leave My friend here has a bag full of explosives Let's use 'em,18
C-3PO,And their weapon will be fully charged in 10 minutes It would take a miracle to save us now,19
HAN,That girl knows her stuff,5
HAN,We'll set the charges at every other column,8
HAN,You're right That's a better idea You take the top,10
KYLO REN,Find them,2
HAN,Ben,1
KYLO REN,Han Solo I've been waiting for this day for a long time,12
HAN,Take off that mask You don't need it,8
KYLO REN,What do you think you'll see if I do,9
HAN,The face of my son,5
KYLO REN,Your son is gone He was weak and foolish like his father So I destroyed him,16
HAN,That's what Snoke wants you to believe but it's not true My son is alive,15
KYLO REN,No The Supreme Leader is wise,6
HAN,Snoke is using you for your power When he gets what he wants he'll crush you you know it's true,20
KYLO REN,It's too late,3
HAN,No it's not Leave here with me Come home We miss you,12
KYLO REN,I'm being torn apart I want to be free of this pain,12
KYLO REN,I know what I have to do but I don't know if I have the strength to do it Will you help me,23
HAN,Yes Anything,2
KYLO REN,Thank you,2
FINN,Solo,1
REY,No no,2
FINN,The Falcon's this way,4
KYLO REN,We're not done yet,4
REY,You're a monster,3
KYLO REN,It's just us now Han Solo can't save you,9
FINN,Rey Rey Rey Rey Oh no Oh no no no,10
KYLO REN,That lightsaber It belongs to me,6
FINN,Come get it,3
POE,Red Four Red Six Cover us,6
POE,Everybody else hit the target hard Give it everything you got,11
POE,I need some help here I need some help,9
POE,All teams - I'm going in Pull up and cover me,11
GENERAL HUX,Prepare to fire,3
KYLO REN,You need a teacher I can show you the ways of the Force,13
REY,The Force,2
GENERAL HUX,Supreme Leader,2
GENERAL HUX,The fuel cells have ruptured The collapse of the planet has begun,12
SNOKE,Leave the base at once and come to me with Kylo Ren,12
REY,Finn Finn,2
POE,All teams I got eyes on them,7
POE,Our job's done here Let's go home,7
C-3PO,R2-D2 You've come back You found what How dare you call me that,13
C-3PO,Find Master Luke how Come R2 We must go tell the others at once,14
C-3PO,General Excuse me General,4
C-3PO,R2-D2 may contain some much needed good news,8
LEIA,Tell me,2
POE,Yeah all right buddy hold on,6
